t,v(tgt),v(txd),i(tgt),i(txd)
7.986311178759588e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
8.034311178759589e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
8.082311178759589e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
8.130311178759589e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
8.178311178759589e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
8.226311178759590e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
8.274311178759590e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
8.322311178759590e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
8.370311178759590e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
8.418311178759590e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
8.466311178759591e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
8.514311178759591e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
8.562311178759591e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
8.610311178759591e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
8.658311178759591e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
8.706311178759592e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
8.754311178759592e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
8.802311178759592e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
8.850311178759592e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
8.898311178759593e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
8.946311178759593e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
8.994311178759593e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
9.042311178759593e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
9.090311178759593e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
9.138311178759594e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
9.186311178759594e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
9.234311178759594e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
9.282311178759594e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
9.330311178759595e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
9.378311178759595e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
